Dates,Oliva Extra,Oliva,Lampante
03/28/2017,3921.25,3725.96,3657.57
03/29/2017,3879.74,3750.00,3622.56
03/30/2017,3818.34,3725.15,3670.63
03/31/2017,3796.67,3750.00,3679.69
04/01/2017,3796.67,3750.00,3679.69
04/02/2017,3796.67,3750.00,3679.69
04/03/2017,3838.47,3729.09,3690.05
04/04/2017,3838.14,3748.94,3684.95
04/05/2017,3832.66,3753.18,3682.40
04/06/2017,3867.75,3768.87,3715.68
04/07/2017,3866.13,3768.87,3698.10
04/08/2017,3866.13,3744.66,3698.10
04/09/2017,3866.13,3744.66,3698.10
04/10/2017,3918.70,3780.28,3698.94
04/11/2017,3918.70,3780.28,3698.94
04/12/2017,3918.70,3780.28,3698.94
04/13/2017,3900.00,3792.18,3679.83
04/14/2017,3900.00,3792.18,3679.83
04/15/2017,3900.00,3792.18,3679.83
04/16/2017,3900.00,3792.18,3679.83
04/17/2017,3888.15,3792.18,3745.77
04/18/2017,3946.79,3789.23,3745.77
04/19/2017,3925.79,3822.60,3789.74
04/20/2017,3957.02,3825.04,3753.53
04/21/2017,3970.56,3854.40,3828.65
04/22/2017,3970.56,3854.40,3828.65
04/23/2017,3970.56,3854.40,3828.65
04/24/2017,3946.83,3884.80,3842.34
04/25/2017,3995.90,3879.61,3851.06
04/26/2017,4012.19,3901.13,3855.21
04/27/2017,3984.11,3913.64,3870.62
04/28/2017,4018.18,3906.19,3849.48
04/29/2017,4018.18,3906.19,3849.48
04/30/2017,4018.18,3906.19,3849.48
05/01/2017,4018.18,3906.19,3849.48
05/02/2017,4005.31,3954.98,3864.62
05/03/2017,3994.33,3949.21,3813.71
05/04/2017,4081.82,3949.09,3821.86
05/05/2017,4035.09,3950.73,3904.07
05/06/2017,3996.34,3950.73,3896.94
05/07/2017,3996.34,3950.73,3896.94
05/08/2017,4128.33,3994.76,3884.85
05/09/2017,4029.33,3962.84,3884.85
05/10/2017,4166.86,3997.18,3861.96
05/11/2017,4196.69,3986.88,3899.39
05/12/2017,4112.30,4000.00,3895.92
05/13/2017,4112.30,4000.00,3895.92
05/14/2017,4112.30,4000.00,3895.92
05/15/2017,4112.56,4015.67,3896.23
05/16/2017,4034.61,4015.67,3850.00
05/17/2017,4333.80,4015.67,3850.00
05/18/2017,3980.11,3949.12,3891.45
05/19/2017,3966.16,3965.59,3876.56
05/20/2017,3966.16,3965.59,3876.56
05/21/2017,3966.16,3965.59,3876.54
05/22/2017,3965.59,3965.59,3876.54
05/23/2017,4042.47,3965.59,3848.19
05/24/2017,3898.78,3799.64,3710.27
05/25/2017,4022.61,3849.58,3706.88
05/26/2017,4045.38,3849.29,3804.05
05/27/2017,4049.62,3849.28,3804.05
05/28/2017,4049.62,3849.28,3804.05
05/29/2017,4038.67,3903.31,3849.34
05/30/2017,3937.04,3829.84,3799.05
05/31/2017,3962.83,3786.51,3774.04
06/01/2017,3918.66,3891.72,3826.53
06/02/2017,3935.31,3866.19,3799.17
06/03/2017,3935.31,3866.19,3799.17
06/04/2017,3935.31,3866.19,3799.17
06/05/2017,4060.58,3893.34,3820.23
06/06/2017,3949.03,3857.91,3841.90
06/07/2017,3983.15,3797.28,3849.85
06/08/2017,3996.64,3799.17,3800.00
06/09/2017,3967.31,3799.17,3698.62
06/10/2017,3967.31,3799.17,3698.62
06/11/2017,3967.31,3799.17,3698.62
06/12/2017,3859.38,3849.04,3846.18
06/13/2017,4045.01,3876.51,3844.99
06/14/2017,4042.44,3799.05,3817.72
06/15/2017,3933.24,3799.05,3799.05
06/16/2017,3909.66,3799.05,3799.05
06/17/2017,3909.66,3800.00,3799.05
06/18/2017,3909.66,3799.88,3798.78
06/19/2017,3898.91,3833.56,3782.70
06/20/2017,3939.94,3799.88,3795.40
06/21/2017,3911.53,3796.63,3774.56
06/22/2017,3891.03,3793.72,3762.33
06/23/2017,3882.32,3793.72,3748.61
06/24/2017,3882.32,3793.82,3748.64
06/25/2017,3882.32,3800.00,3778.82
06/26/2017,3937.44,3800.00,3757.21
06/27/2017,3869.13,3799.41,3749.83
06/28/2017,3880.35,3799.41,3709.50
06/29/2017,3870.75,3742.66,3748.69
06/30/2017,3981.11,3783.66,3789.60
07/01/2017,3949.26,3730.77,3739.71
07/02/2017,3949.60,3730.77,3739.72
07/03/2017,3936.20,3700.77,3709.73
07/04/2017,3861.72,3680.77,3688.74
07/05/2017,3797.64,3650.77,3657.75
07/06/2017,3797.64,3650.77,3657.76
07/07/2017,3906.45,3750.77,3759.77
